Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,2721,766.8734,Success,41.62,3.02,6.86,-3.19
2,2721,766.2843,Success,42.56,1.32,7.27,-2.01
3,2721,790.5364,Success,42.0,1.77,5.75,-2.65
4,2721,777.7056,Success,43.61,3.61,4.58,-1.94
5,2721,791.0863,Success,41.38,2.16,2.18,-0.73
6,2721,-228.7029,Crash,42.01,2.6,7.51,-3.45
7,2722,770.5837,Success,41.45,3.88,7.09,-1.23
8,2722,-212.0102,Crash,42.77,1.31,5.29,-5.72
9,2722,781.7647,Success,41.72,2.88,5.28,-2.13
10,2722,735.1601,Success,42.52,3.03,10.63,-3.52
11,2722,786.0589,Success,42.71,3.18,3.09,-1.89
12,2722,786.3647,Success,43.25,2.67,3.13,-2.99
13,2722,-209.7638,Crash,42.64,0.24,4.81,-6.39
14,2723,-210.4344,Crash,43.57,1.31,3.03,-4.67
15,2723,811.147,Success,42.38,1.56,0.67,-3.50
16,2723,764.8901,Success,42.95,2.55,5.90,-1.81
17,2723,799.8284,Success,42.19,0.61,2.22,-1.70
18,2723,-219.9231,Crash,42.53,1.91,5.05,-4.25
19,2723,772.5567,Success,41.21,1.97,4.60,-0.78
20,2724,-209.2543,Crash,41.41,1.44,5.88,-3.15
21,2724,756.382,Success,43.38,2.74,6.30,-1.29
22,2724,754.8318,Success,43.21,2.54,7.12,-3.44
23,2724,781.8072,Success,42.73,2.99,3.08,-1.31
24,2724,744.3491,Success,41.87,2.58,9.91,-2.91
25,2724,796.1099,Success,42.57,2.17,3.23,-2.86
26,2725,752.6765,Success,41.35,2.33,8.68,-3.53
27,2725,781.8791,Success,42.57,1.98,4.60,-3.95
28,2725,773.9995,Success,41.86,2.53,4.63,-3.61
29,2725,772.5274,Success,41.28,2.83,4.40,-2.13
30,2725,-229.9648,Crash,42.05,1.71,8.56,-5.34
31,2725,770.766,Success,42.44,1.17,7.25,-1.90
32,2726,-224.531,Crash,42.54,0.69,8.65,-6.99
33,2726,772.369,Success,42.55,2.71,6.27,-2.03
34,2726,-440.8922,OutOfBounds,42.53,2.03,20.27,-2.90
35,2726,-223.4916,Crash,42.46,2.94,5.12,-4.22
36,2726,784.9204,Success,43.38,3.18,5.10,-4.27
37,2726,-212.8115,Crash,43.58,0.55,4.56,-6.61
38,2727,788.4668,Success,42.81,2.26,2.90,-1.74
39,2727,773.8484,Success,42.46,2.04,5.97,-2.96
40,2727,781.7738,Success,42.59,2.45,4.55,-3.27
41,2727,-226.258,Crash,41.52,1.09,7.41,-4.97
42,2727,-248.5494,Crash,41.22,1.68,11.72,-2.39
43,2727,778.3782,Success,41.51,1.97,7.28,-2.53
44,2727,-311.3426,MissedZone,41.38,2.05,17.96,-4.70
45,2728,798.7613,Success,41.3,2.95,3.69,-3.51
46,2728,751.8947,Success,41.72,3.23,7.90,-1.57
47,2728,773.7574,Success,42.78,3.1,6.97,-4.08
48,2728,791.8272,Success,41.6,1.35,3.60,-2.40
49,2728,787.5874,Success,42.55,1.52,5.36,-3.17
50,2728,791.7696,Success,42.73,2.83,2.69,-2.90
51,2729,-240.3135,Crash,42.25,3.16,7.37,-4.38
52,2729,778.883,Success,42.3,3.04,4.62,-2.25
53,2729,-243.5424,Crash,41.25,3.11,9.33,-2.49
54,2729,785.9943,Success,43.27,0.98,3.01,-1.63
