Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,2641,773.915,Success,43.29,1.69,2.84,-2.97
2,2641,-224.4824,Crash,42.04,2.51,3.25,-5.04
3,2641,-220.5926,Crash,41.51,2.19,1.12,-3.42
4,2641,749.7728,Success,41.35,3.47,5.20,-3.31
5,2641,764.1332,Success,40.89,3.43,2.06,-4.36
6,2641,-226.1557,Crash,42.91,2.46,1.97,-4.94
7,2641,771.3862,Success,41.63,2.54,0.65,-2.87
8,2642,774.4227,Success,40.78,2.17,2.18,-3.04
9,2642,763.7729,Success,41.13,3.46,3.38,-3.94
10,2642,768.1689,Success,42.94,1.53,3.25,-2.76
11,2642,-230.3328,Crash,42.9,2.57,2.94,-4.81
12,2642,-224.7026,Crash,43.11,2.51,2.47,-5.45
13,2642,-235.5377,Crash,43.4,2.98,2.93,-5.93
14,2642,-210.1089,Crash,41.82,0.49,0.91,-5.98
15,2642,767.1612,Success,41.98,3.3,1.84,-2.86
16,2643,783.0792,Success,41.56,1.86,0.98,-3.51
17,2643,-219.8104,Crash,41.83,2.57,1.52,-8.37
18,2643,765.681,Success,40.76,3.25,4.05,-2.21
19,2643,760.6629,Success,42.97,2.89,1.75,-2.29
20,2643,751.9789,Success,41.44,3.38,4.42,-1.40
21,2643,759.0545,Success,42.55,2.77,2.64,-2.92
22,2643,-214.1154,Crash,42.56,1.43,1.15,-7.36
23,2643,776.4525,Success,41.7,1.95,1.36,-4.10
24,2644,788.1364,Success,41.22,0.9,1.10,-3.06
25,2644,784.4785,Success,41.44,1.32,0.31,-3.82
26,2644,754.6841,Success,41.14,3.59,4.60,-2.31
27,2644,-228.3599,Crash,42.64,1.72,2.50,-6.41
28,2644,-218.2512,Crash,42.12,0.83,3.20,-2.63
29,2644,774.8324,Success,41.88,1.34,1.97,-4.44
30,2644,-224.0464,Crash,41.69,2.33,2.89,-5.01
31,2644,-226.0215,Crash,42.5,2.31,2.21,-4.21
32,2645,766.4885,Success,42.87,2.29,4.13,-3.24
33,2645,-238.9683,Crash,41.8,3.44,3.65,-5.07
34,2645,-244.0408,Crash,41.97,3.7,4.45,-5.28
35,2645,-232.4021,Crash,41.13,2.59,4.05,-4.93
36,2645,750.5532,Success,42.41,3.25,3.92,-4.43
37,2645,746.8093,Success,43.58,3.0,5.65,-3.13
38,2645,764.2513,Success,43.62,2.89,2.17,-3.88
39,2645,-245.9288,Crash,42.22,2.04,6.41,-5.85
40,2646,-233.2696,Crash,41.34,2.56,4.50,-5.52
41,2646,-234.9011,Crash,43.49,2.79,2.78,-2.73
42,2646,-229.1165,Crash,42.09,2.32,1.54,-10.10
43,2646,-230.6335,Crash,40.89,2.77,2.95,-5.38
44,2646,762.5169,Success,42.23,2.32,4.63,-2.68
45,2646,-293.3306,Spin,40.78,3.05,2.99,-12.17
46,2646,762.7923,Success,43.37,2.84,2.92,-3.89
47,2646,-240.0561,Crash,43.05,2.78,5.24,-5.92
48,2647,762.5274,Success,41.8,1.92,4.80,-3.56
49,2647,-232.2103,Crash,42.7,2.43,3.68,-8.15
50,2647,-215.552,Crash,41.22,1.73,1.23,-4.84
51,2647,-221.5993,Crash,41.81,1.77,2.10,-3.95
52,2647,-228.8759,Crash,40.76,2.88,3.16,-4.72
53,2647,767.4967,Success,41.57,3.04,3.17,-3.16
54,2647,767.0822,Success,41.52,2.72,2.37,-4.38
55,2647,-225.4974,Crash,43.04,1.82,2.22,-8.06
56,2648,-219.3673,Crash,41.92,2.12,1.93,-5.32
57,2648,-233.516,Crash,41.67,3.31,3.47,-6.04
58,2648,764.4303,Success,40.67,2.74,3.33,-2.97
59,2648,-231.0454,Crash,41.89,3.09,2.06,-6.24
60,2648,780.3615,Success,40.84,1.28,1.20,-3.43
61,2648,756.401,Success,43.37,3.02,2.63,-4.14
62,2648,-233.2603,Crash,41.93,2.86,3.76,-7.25
63,2648,766.2213,Success,43.62,1.98,1.22,-3.07
64,2649,-223.0943,Crash,42.11,1.61,2.75,-7.19
65,2649,-224.9513,Crash,41.52,2.43,2.75,-5.10
66,2649,-229.3715,Crash,42.87,2.72,1.94,-8.98
67,2649,758.6134,Success,41.57,3.22,3.96,-3.52
68,2649,-235.5922,Crash,43.54,2.41,4.54,-7.90
69,2649,-335.8278,Spin,41.22,1.46,2.17,-7.08
70,2649,-233.2694,Crash,43.6,2.45,3.82,-5.24
71,2649,754.0568,Success,41.85,3.04,4.25,-1.99
72,2650,-229.7186,Crash,40.72,2.72,3.03,-3.08
73,2650,764.8684,Success,40.76,2.33,3.27,-2.95
74,2650,750.9657,Success,43.36,2.93,4.38,-2.28
75,2650,-230.7131,Crash,42.15,2.28,3.49,-3.61
76,2650,-235.6527,Crash,42.68,2.86,3.11,-3.27
77,2650,-245.2146,Crash,43.29,3.53,5.13,-6.94
78,2650,-238.8046,Crash,41.47,2.75,5.58,-3.92
79,2651,-208.1397,Crash,42.14,0.32,1.12,-4.22
80,2651,757.6592,Success,41.42,2.57,2.51,-0.48
81,2651,-217.3393,Crash,41.86,1.26,1.89,-3.21
82,2651,-229.2571,Crash,43.08,3.05,3.79,-7.30
83,2651,760.3199,Success,42.97,1.8,3.25,-3.73
84,2651,-232.75,Crash,40.75,3.01,3.42,-7.80
85,2651,754.8307,Success,42.95,2.54,4.71,-3.19
86,2651,753.9981,Success,43.17,3.36,3.23,-3.95
87,2652,-236.8755,Crash,42.37,1.62,8.44,-0.71
88,2652,757.4194,Success,41.14,3.3,3.44,-3.69
89,2652,775.5493,Success,41.03,1.7,1.00,-1.49
90,2652,-249.5468,Crash,42.33,1.27,12.54,-1.42
91,2652,766.2512,Success,41.97,1.89,2.52,-1.05
92,2652,-215.14,Crash,42.45,0.73,2.17,-3.04
93,2653,-238.6073,Crash,42.23,2.91,4.71,-7.85
94,2653,768.1796,Success,41.09,0.66,5.24,-3.20
95,2653,-241.4049,Crash,43.6,3.1,4.72,-4.82
96,2653,-210.2242,Crash,42.9,1.41,0.94,-6.41
97,2653,768.9316,Success,41.98,2.43,0.64,-3.22
98,2653,768.7111,Success,41.27,2.25,1.58,-2.70
99,2653,-230.4638,Crash,42.41,2.32,3.52,-5.98
100,2653,-233.081,Crash,40.9,2.84,4.51,-7.28
101,2654,761.3671,Success,41.24,2.86,4.17,-1.88
102,2654,762.7709,Success,43.64,2.77,2.56,-3.93
103,2654,766.898,Success,41.57,2.38,4.00,-3.04
104,2654,774.885,Success,42.76,2.31,2.14,-4.34
105,2654,762.3499,Success,42.2,2.8,3.43,-4.07
106,2654,754.9335,Success,40.9,3.68,4.31,-2.74
107,2654,-218.7173,Crash,40.74,1.8,1.60,-7.14
108,2655,758.4738,Success,43.61,2.66,2.73,-3.29
109,2655,763.8301,Success,43.22,2.72,2.73,-3.57
110,2655,763.0199,Success,40.91,2.84,1.82,-1.54
111,2655,773.2694,Success,41.09,2.21,1.80,-3.14
112,2655,762.8116,Success,42.75,2.72,2.06,-2.37
113,2655,-233.0863,Crash,43.28,2.82,3.04,-7.47
114,2655,-234.1888,Crash,43.37,2.66,3.60,-5.85
115,2655,772.0669,Success,41.44,2.2,1.29,-3.75
116,2656,-229.6036,Crash,43.14,1.45,5.16,-5.48
117,2656,777.0658,Success,42.7,0.78,1.81,-2.82
118,2656,775.1707,Success,42.82,1.98,1.26,-3.57
119,2656,756.0011,Success,42.44,3.08,3.99,-3.74
120,2656,784.1107,Success,42.53,1.24,0.43,-3.99
121,2656,-231.7922,Crash,42.53,3.1,1.87,-7.51
122,2656,771.6799,Success,41.52,2.09,1.67,-2.90
123,2657,776.9853,Success,41.35,1.03,1.94,-2.29
124,2657,-225.4025,Crash,42.56,2.7,1.77,-5.54
125,2657,-201.6109,Crash,42.68,0.35,0.34,-6.35
126,2657,765.4458,Success,41.78,2.61,4.39,-1.89
127,2657,748.4817,Success,41.33,3.8,4.46,-2.16
128,2657,-215.841,Crash,43.02,1.22,2.01,-5.61
129,2657,-233.6188,Crash,41.34,2.47,6.73,-4.73
130,2657,-211.1049,Crash,41.47,1.22,1.24,-8.44
131,2658,774.7666,Success,41.87,0.7,2.98,-2.18
132,2658,-215.9361,Crash,41.33,2.08,0.94,-8.50
133,2658,749.3397,Success,41.52,3.61,5.05,-2.25
134,2658,-233.1522,Crash,43.15,2.77,4.24,-7.09
135,2658,-505.3416,OutOfBounds,42.21,2.06,25.63,0.22
136,2658,789.5464,Success,40.99,0.89,1.14,-2.19
137,2658,771.4389,Success,41.73,1.93,2.83,-2.07
138,2659,767.6796,Success,42.52,2.15,3.03,-3.46
139,2659,752.3594,Success,43.19,4.17,3.44,-2.00
140,2659,764.7879,Success,43.0,2.28,2.54,-2.65
141,2659,-233.259,Crash,40.92,3.71,5.16,-7.72
142,2659,769.8297,Success,42.48,1.18,4.17,-2.69
143,2659,-229.7132,Crash,41.86,3.4,4.04,-5.18
144,2659,-222.7322,Crash,43.45,2.28,1.86,-7.56
145,2659,753.1148,Success,42.06,1.78,5.72,-1.85
146,2660,764.4101,Success,43.14,2.48,4.46,-2.77
147,2660,760.8381,Success,41.41,2.68,2.98,-1.11
148,2660,769.6203,Success,43.56,2.21,0.66,-2.05
149,2660,-227.6655,Crash,42.39,2.99,2.96,-5.04
150,2660,771.4854,Success,42.27,2.42,0.93,-2.28
151,2660,756.0358,Success,41.98,2.77,4.89,-2.42
152,2660,765.4899,Success,42.38,1.17,4.18,-1.23
153,2661,783.0713,Success,41.85,0.61,1.14,-2.11
154,2661,742.3946,Success,40.96,3.78,5.80,-0.82
155,2661,786.1853,Success,42.5,0.49,2.00,-3.25
156,2661,756.7602,Success,41.75,2.48,5.13,-1.86
157,2661,780.3634,Success,41.28,0.94,3.53,-3.55
158,2661,773.4578,Success,42.05,2.07,2.41,-3.45
159,2661,762.6717,Success,41.89,1.4,4.10,-3.43
160,2662,-220.6266,Crash,40.75,2.51,3.84,-5.10
161,2662,753.7448,Success,41.81,3.2,5.24,-3.25
162,2662,-228.8182,Crash,42.11,3.03,3.53,-4.51
163,2662,751.6501,Success,43.3,3.31,1.97,-1.40
164,2662,761.951,Success,42.97,1.66,3.27,-3.86
165,2662,-224.3631,Crash,42.57,2.48,2.89,-4.86
166,2662,762.5167,Success,42.81,2.81,5.16,-3.35
167,2663,-225.1477,Crash,42.02,2.32,3.48,-5.05
168,2663,748.4343,Success,42.58,3.37,5.64,-2.42
169,2663,774.5627,Success,41.72,2.1,2.49,-3.69
170,2663,751.3431,Success,41.59,3.23,5.25,-2.38
171,2663,-250.2112,Crash,42.85,3.79,5.65,-11.21
172,2663,786.5401,Success,42.33,0.99,1.02,-2.62
173,2663,763.8835,Success,43.02,2.6,3.97,-2.29
174,2663,781.6794,Success,41.5,1.38,0.82,-3.06
175,2664,787.8155,Success,42.02,0.69,2.41,-4.42
176,2664,743.9426,Success,42.74,2.51,5.96,-1.00
177,2664,784.6882,Success,40.94,0.86,1.93,-2.66
178,2664,751.9839,Success,41.47,3.02,4.44,-3.05
179,2664,763.1095,Success,43.07,2.38,2.38,-2.52
180,2664,-225.0876,Crash,40.79,2.5,5.44,-7.54
181,2664,763.6888,Success,43.1,2.6,3.04,-2.37
182,2665,748.1141,Success,43.19,3.73,3.51,-2.15
183,2665,768.7637,Success,42.75,2.18,2.00,-3.06
184,2665,-221.6455,Crash,40.95,2.7,2.50,-4.63
185,2665,750.825,Success,42.36,1.77,5.84,-0.08
186,2665,776.0791,Success,43.02,0.47,2.67,-2.87
187,2665,759.6627,Success,42.99,2.98,3.65,-1.84
188,2665,-225.018,Crash,43.63,2.76,1.16,-6.96
189,2666,765.1063,Success,43.5,3.11,1.21,-3.18
190,2666,759.6262,Success,43.24,2.62,1.35,-1.28
191,2666,743.1623,Success,43.07,3.25,4.87,-2.01
192,2666,764.0399,Success,40.88,2.33,3.87,-1.38
193,2666,-222.5578,Crash,41.72,2.57,1.92,-0.65
194,2666,-244.4375,Crash,42.05,3.65,7.78,-5.76
195,2666,-225.7082,Crash,40.72,2.77,2.44,-5.95
196,2667,763.2362,Success,40.97,3.5,1.29,-2.61
197,2667,-230.4373,Crash,42.25,2.2,5.45,-2.33
198,2667,750.9991,Success,42.65,2.84,2.33,-1.47
199,2667,-244.1809,Crash,42.81,2.87,7.82,-2.89
200,2667,762.6679,Success,43.19,0.93,3.92,-1.75
201,2667,769.1087,Success,42.28,1.42,1.86,-1.12
202,2667,787.7481,Success,42.33,0.96,0.98,-4.23
203,2668,769.6188,Success,40.76,1.44,2.99,-1.83
204,2668,769.6879,Success,43.24,1.66,2.38,-2.83
205,2668,778.2697,Success,42.38,0.84,1.96,-1.79
206,2668,759.6577,Success,41.93,2.86,4.16,-2.99
207,2668,-225.7711,Crash,42.26,1.59,6.07,-9.12
208,2668,752.2394,Success,42.38,3.25,3.41,-3.08
209,2668,746.9835,Success,40.88,3.09,6.28,-2.30
210,2669,-263.1513,Crash,43.53,3.2,10.27,-0.62
211,2669,768.0606,Success,43.54,1.22,2.00,-1.51
212,2669,770.0778,Success,42.02,2.24,0.96,-2.96
213,2669,750.8528,Success,43.45,2.77,4.00,-1.06
214,2669,-223.2699,Crash,43.57,1.26,4.42,-6.32
215,2669,-236.6955,Crash,41.65,3.06,6.99,-5.94
216,2670,759.0271,Success,42.24,1.07,4.93,-2.29
217,2670,737.3928,Success,41.15,3.62,5.34,-1.00
218,2670,761.8664,Success,42.45,0.83,3.68,-3.57
219,2670,744.2303,Success,43.28,2.97,6.20,-3.23
220,2670,738.5133,Success,41.99,3.51,5.29,-2.14
221,2670,762.8734,Success,42.46,3.2,1.43,-3.03
222,2670,754.8998,Success,41.15,3.45,0.14,-2.43
223,2671,745.9981,Success,42.01,3.02,4.80,-1.74
224,2671,762.4715,Success,41.54,2.25,1.99,-3.66
225,2671,757.1295,Success,40.95,2.61,2.02,-1.23
226,2671,746.5901,Success,42.69,3.5,3.75,-2.68
227,2671,780.9323,Success,43.24,0.42,0.84,-3.73
228,2671,738.9219,Success,43.45,2.87,4.05,-1.39
229,2672,-237.7708,Crash,42.78,4.17,3.61,-5.36
230,2672,-247.6929,Crash,42.15,3.35,7.83,-2.93
231,2672,767.304,Success,42.27,2.22,2.10,-3.58
232,2672,-228.085,Crash,41.48,2.11,5.28,-3.61
233,2672,754.8507,Success,41.25,2.26,5.98,-1.91
234,2672,749.6973,Success,43.22,2.72,4.39,-3.31
235,2672,745.6954,Success,41.67,2.29,5.85,-3.54
236,2673,778.4165,Success,41.68,0.21,2.47,-0.44
237,2673,768.9058,Success,41.77,1.39,3.31,-1.63
238,2673,-251.7142,Crash,43.58,2.57,12.17,-4.25
239,2673,757.5712,Success,42.93,3.21,2.19,-3.50
240,2673,-218.2409,Crash,42.39,0.61,5.40,-4.95
241,2673,-245.4576,Crash,43.22,2.42,8.08,-2.97
242,2674,748.3131,Success,43.18,2.04,6.48,-1.88
243,2674,-239.5676,Crash,41.63,2.91,6.35,-6.10
244,2674,752.255,Success,43.0,3.93,1.75,-3.10
245,2674,764.9474,Success,40.99,2.49,2.35,-2.97
246,2674,-241.5475,Crash,42.38,2.93,7.07,-3.43
247,2674,-219.386,Crash,41.63,2.06,0.78,-4.62
248,2674,777.9021,Success,43.19,0.15,2.80,-3.00
249,2675,765.548,Success,41.22,1.07,3.55,-2.73
250,2675,760.4023,Success,41.71,2.5,1.87,-1.24
251,2675,747.8467,Success,42.12,3.3,3.26,-1.81
252,2675,-292.1806,MissedZone,41.25,2.86,17.34,-5.19
253,2675,746.6797,Success,41.71,2.47,6.83,-1.60
254,2675,748.7258,Success,43.14,3.16,2.45,-2.23
255,2675,-216.519,Crash,41.24,0.63,5.42,-3.21
256,2676,761.6789,Success,42.58,1.97,3.87,-2.30
257,2676,763.6249,Success,42.2,2.48,2.74,-2.16
258,2676,-216.5693,Crash,41.48,1.03,5.89,-2.06
259,2676,762.8341,Success,42.1,1.13,3.82,-1.25
260,2676,751.2735,Success,42.66,2.87,4.48,-2.13
261,2676,-233.978,Crash,43.28,3.11,4.27,-5.04
262,2677,730.8234,Success,43.49,3.65,6.84,-4.11
263,2677,737.896,Success,42.31,2.65,5.18,-0.86
264,2677,764.1641,Success,43.07,1.58,2.55,-1.42
265,2677,-226.5417,Crash,42.33,3.21,2.36,-4.80
266,2677,-236.7174,Crash,42.02,3.26,5.73,-7.23
267,2677,-234.328,Crash,41.22,2.54,6.16,-0.92
268,2677,-254.3244,Crash,42.26,0.53,12.71,-5.37
269,2678,-245.5355,Crash,42.97,1.8,10.41,-7.86
270,2678,768.284,Success,42.08,2.13,3.63,-2.93
271,2678,767.6655,Success,42.67,2.69,1.05,-2.79
272,2678,762.8152,Success,41.95,2.87,1.92,-3.71
273,2678,768.8987,Success,41.22,2.05,3.58,-2.39
274,2678,745.4705,Success,42.83,3.64,5.23,-3.98
275,2678,-252.9109,Crash,41.67,2.9,10.23,-2.16
276,2679,-213.3288,Crash,42.35,1.77,0.35,-8.29
277,2679,766.3116,Success,40.96,1.58,3.56,-2.36
278,2679,762.3326,Success,42.74,2.01,2.32,-3.23
279,2679,-222.9038,Crash,40.75,2.88,2.30,-5.34
280,2679,-212.8328,Crash,40.66,1.94,1.97,-4.72
281,2679,-236.2582,Crash,43.21,3.17,4.07,-4.93
282,2679,757.3565,Success,41.35,2.5,3.75,-3.19
283,2680,771.1591,Success,41.59,1.41,3.50,-2.55
284,2680,758.1916,Success,41.16,3.08,3.53,-3.19
285,2680,-212.3006,Crash,41.18,1.98,3.40,-3.97
286,2680,-237.7005,Crash,43.48,2.69,6.10,-6.49
287,2680,755.1339,Success,42.0,3.39,2.95,-2.86
288,2680,-237.46,Crash,42.91,1.88,7.30,-4.16
289,2680,761.3759,Success,41.52,2.76,2.05,-2.58
290,2681,744.6955,Success,42.79,3.06,3.77,-1.02
291,2681,761.7376,Success,40.72,2.32,4.78,-2.95
292,2681,771.6059,Success,42.01,1.51,3.47,-3.03
293,2681,736.6186,Success,42.23,2.6,6.19,-2.21
294,2681,747.3067,Success,43.48,2.74,2.48,-2.80
295,2681,761.6372,Success,43.19,1.71,2.72,-0.95
296,2682,-240.0272,Crash,42.79,0.98,8.73,-2.73
297,2682,-238.6642,Crash,40.8,3.38,5.69,-3.55
298,2682,-249.7364,Crash,43.3,2.52,8.07,-1.68
299,2682,745.1196,Success,43.32,2.71,4.20,-3.05
300,2682,713.5383,Success,41.22,2.09,7.51,-1.11
301,2682,760.7529,Success,40.81,2.67,4.24,-4.10
302,2683,-206.1202,Crash,41.47,0.45,2.81,-4.82
303,2683,757.8351,Success,41.53,2.86,3.77,-3.54
304,2683,-230.4138,Crash,42.87,2.48,2.58,-4.69
305,2683,739.9933,Success,40.73,2.29,8.71,-3.45
306,2683,774.2475,Success,40.68,1.97,1.89,-3.50
307,2683,-282.0643,MissedZone,43.5,1.26,16.58,-7.00
308,2683,753.9592,Success,42.34,2.64,2.83,-1.49
309,2684,-237.2637,Crash,41.24,1.83,8.68,-5.22
310,2684,745.1553,Success,41.31,2.84,6.70,-3.75
311,2684,754.144,Success,41.4,2.42,1.52,-1.58
312,2684,701.0561,Success,40.88,1.8,8.80,-0.53
313,2684,773.1883,Success,41.6,2.2,2.06,-3.48
314,2685,753.0674,Success,42.54,0.56,5.87,-1.06
315,2685,749.0629,Success,43.34,3.77,2.53,-3.51
316,2685,747.1006,Success,43.4,2.44,3.46,-3.22
317,2685,-240.1033,Crash,43.43,2.14,7.60,-3.23
318,2685,755.5559,Success,41.69,3.13,3.25,-1.69
319,2685,762.4281,Success,43.54,2.54,1.80,-2.83
320,2685,-239.9253,Crash,43.46,3.02,4.47,-4.96
321,2686,743.7852,Success,41.55,3.59,2.01,-2.99
322,2686,746.5049,Success,41.45,3.27,1.30,-3.30
323,2686,744.2555,Success,40.9,2.54,3.76,-0.69
324,2686,-234.5057,Crash,41.05,0.75,11.46,-8.58
325,2686,744.3796,Success,41.91,1.86,6.94,-1.70
326,2686,-239.6939,Crash,43.22,2.84,7.47,-3.58
327,2687,751.7184,Success,42.33,2.2,5.92,-1.83
328,2687,782.9611,Success,40.85,1.12,0.66,-1.15
329,2687,706.2403,Success,42.01,2.77,6.86,-0.55
330,2687,747.4918,Success,41.43,2.97,4.54,-2.12
331,2687,734.1374,Success,42.23,4.0,4.09,-2.55
332,2687,-226.869,Crash,43.54,2.16,2.73,-2.31
333,2688,732.4589,Success,43.33,3.02,6.75,-1.29
334,2688,-226.3802,Crash,42.13,1.79,5.14,-2.11
335,2688,748.0963,Success,43.0,1.82,4.36,-2.74
336,2688,779.7409,Success,43.18,0.72,0.85,-2.08
337,2688,755.4634,Success,41.01,2.42,3.93,-0.55
338,2688,746.6174,Success,42.3,2.73,4.24,-3.04
339,2689,770.795,Success,40.84,1.85,0.89,-2.52
340,2689,759.6714,Success,41.44,3.24,2.00,-4.07
341,2689,774.3115,Success,41.16,1.45,3.29,-4.01
342,2689,763.8047,Success,42.34,1.74,3.05,-2.43
343,2689,746.1196,Success,42.09,2.56,4.35,-2.03
344,2689,746.9871,Success,41.41,2.26,3.75,-1.12
345,2689,-233.9588,Crash,42.53,2.72,5.97,-3.13
346,2690,743.6601,Success,42.86,3.91,2.21,-2.34
347,2690,751.8582,Success,43.47,2.15,3.71,-2.20
348,2690,736.3968,Success,42.07,2.59,4.77,-2.73
349,2690,751.9675,Success,42.74,2.63,2.71,-1.85
350,2690,769.0616,Success,40.75,2.0,0.92,-0.70
351,2690,765.9836,Success,42.02,1.88,2.13,-2.07
352,2691,-212.8293,Crash,43.18,0.34,4.31,-3.74
353,2691,730.4764,Success,41.82,2.88,8.30,-1.83
354,2691,758.2139,Success,43.02,2.99,2.73,-4.30
355,2691,757.8462,Success,41.34,2.73,1.44,-2.12
356,2691,759.969,Success,41.44,2.67,3.06,-2.23
357,2691,750.6968,Success,42.28,2.49,4.01,-2.03
358,2691,-234.4963,Crash,42.73,1.96,5.08,-5.26
359,2692,751.5597,Success,42.62,2.73,2.20,-3.21
360,2692,770.4861,Success,41.01,1.02,3.87,-1.98
361,2692,749.2212,Success,43.25,2.05,3.92,-2.42
362,2692,745.1071,Success,43.37,3.44,2.82,-4.45
363,2692,779.6024,Success,41.71,0.77,2.51,-2.51
