Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,441,-266.003,MissedZone,9.79,4.79,11.08,-3.97
2,441,-1060.985,CeilingHit,3.57,4.05,30.64,11.84
3,441,-289.2272,MissedZone,11.03,3.84,17.39,-1.86
4,442,-539.3845,OutOfBounds,10.29,3.1,38.66,4.15
5,442,-726.1626,OutOfBounds,8.81,0.26,40.89,10.15
6,443,-785.1128,OutOfBounds,3.26,5.46,35.48,11.44
7,443,-211.0754,Crash,7.24,0.48,1.91,-1.85
8,443,-908.1879,CeilingHit,3.81,3.79,4.41,12.59
9,444,-911.3067,CeilingHit,2.78,4.26,10.34,15.98
