Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,661,1018.6633,Success,10.48,5.98,6.78,-3.39
2,661,1007.9837,Success,9.9,3.22,6.92,-3.11
3,661,992.1482,Success,7.03,5.44,4.30,-3.22
4,661,1024.7644,Success,5.97,5.63,2.61,-2.16
5,662,-226.9065,Crash,6.7,5.53,7.14,-4.18
6,662,-196.6916,Crash,7.84,0.66,3.10,-3.58
7,662,-209.4085,Crash,9.06,2.29,3.70,-4.14
8,662,1115.1825,Success,1.81,6.23,6.24,-0.59
9,662,1086.3461,Success,2.67,4.51,4.14,-1.18
10,663,-868.4031,OutOfBounds,5.04,4.05,42.03,0.57
11,663,1093.606,Success,3.14,3.99,4.02,-1.31
12,663,-152.4104,MissedZone,6.32,3.69,8.62,-1.85
13,663,1112.0467,Success,1.88,2.61,2.54,-0.41
14,663,1020.5313,Success,8.92,5.08,3.64,-3.37
15,664,-211.0496,Crash,8.98,3.41,2.47,-4.27
16,664,-208.7405,Crash,8.5,3.51,1.90,-4.45
17,664,-179.8685,MissedZone,9.2,3.81,9.17,-2.50
18,665,-783.352,OutOfBounds,9.91,4.41,35.13,-1.46
19,665,-324.2346,MissedZone,2.31,1.68,25.82,-2.11
20,665,1018.9064,Success,10.04,5.02,4.55,-2.49
21,665,1101.1119,Success,2.24,4.76,4.76,-0.45
22,665,-219.4756,Crash,10.4,3.77,4.13,-5.07
23,665,1118.3337,Success,1.75,3.21,3.20,-0.88
24,666,-651.8544,OutOfBounds,5.8,4.81,37.49,2.37
25,666,1016.3871,Success,10.89,4.68,4.54,-3.29
26,666,-855.3633,OutOfBounds,7.06,4.95,35.20,0.78
27,667,-225.0048,Crash,6.66,4.71,7.65,-1.14
28,667,-492.3744,MissedZone,11.29,2.71,33.83,-2.51
29,668,-254.6449,Crash,6.03,5.57,7.23,-3.93
30,668,-775.3984,OutOfBounds,7.3,4.94,48.83,0.49
31,668,1023.9062,Success,10.49,2.46,2.05,-2.71
32,669,1031.5903,Success,8.25,5.08,5.06,-2.38
33,669,1090.7076,Success,3.37,4.38,4.43,-1.77
34,669,1036.3559,Success,8.09,1.92,3.23,-2.20
35,669,-376.2987,MissedZone,3.46,2.78,24.30,-1.76
36,670,-208.8821,Crash,2.59,3.23,6.40,-2.68
37,670,1065.4622,Success,5.88,2.19,2.04,-3.28
38,670,-825.7241,OutOfBounds,3.12,4.91,41.47,0.23
39,670,-186.7216,MissedZone,6.97,5.09,9.96,-1.27
40,671,-216.3863,Crash,10.48,3.53,3.53,-4.37
41,671,1030.0719,Success,8.81,4.91,4.76,-3.49
42,671,-197.1587,Crash,8.27,0.95,0.61,-4.07
43,671,-225.9065,Crash,10.62,6.66,6.59,-4.79
44,671,1112.0886,Success,1.91,3.59,3.58,-1.24
45,671,-216.3656,Crash,11.23,2.29,2.80,-4.64
46,671,1070.8318,Success,4.36,3.23,3.30,-1.79
47,671,-207.7377,Crash,7.74,5.06,5.27,-3.75
48,672,1040.8021,Success,9.45,2.61,2.99,-3.27
49,672,1044.1947,Success,8.1,4.29,4.50,-2.64
50,672,-227.174,Crash,11.56,5.15,4.94,-5.34
51,672,1030.4682,Success,2.9,5.43,4.88,-1.55
52,672,1062.414,Success,6.33,1.47,2.27,-3.38
53,673,-833.2284,OutOfBounds,7.22,3.79,38.96,4.16
54,673,-216.8237,Crash,10.62,3.35,3.16,-5.65
55,673,-190.369,Crash,5.47,4.15,3.90,-3.71
56,673,1037.8391,Success,7.24,4.85,6.00,-2.95
57,673,-219.159,Crash,11.04,2.33,1.40,-2.84
58,673,1034.8535,Success,7.15,5.12,5.42,-2.66
59,674,1022.5406,Success,9.51,4.52,3.96,-3.45
