Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
104,2275,-229.1017,Crash,34.08,2.88,1.53,-4.58
105,2275,-264.5407,Crash,40.6,4.19,6.31,-3.90
106,2275,710.8143,Success,34.4,2.39,4.54,-2.95
107,2275,707.1031,Success,34.67,2.9,5.38,-3.39
108,2275,706.6393,Success,36.89,2.93,2.46,-2.90
109,2275,717.5508,Success,33.01,2.66,4.06,-2.52
110,2276,721.1304,Success,33.96,2.06,2.02,-3.86
111,2276,732.8349,Success,33.75,1.0,1.95,-2.99
112,2276,725.2881,Success,35.3,1.87,1.86,-3.07
113,2276,719.2323,Success,33.59,2.02,3.92,-3.91
114,2276,-251.2735,Crash,40.6,2.2,6.12,-4.12
115,2276,719.6027,Success,35.08,2.45,0.42,-2.64
116,2276,-198.8403,Crash,30.32,0.26,0.46,-4.48
117,2276,720.1865,Success,30.97,3.52,4.11,-2.30
118,2277,-219.5739,Crash,36.29,0.9,1.90,-4.90
119,2277,-242.2647,Crash,41.38,1.56,2.63,-5.32
120,2277,717.6029,Success,32.67,2.76,4.30,-3.33
121,2277,727.0599,Success,32.39,1.26,4.87,-2.39
122,2277,-244.0768,Crash,37.81,3.3,2.23,-5.74
123,2277,-232.1027,Crash,36.03,2.44,2.24,-4.59
124,2277,-244.0796,Crash,39.25,2.87,2.75,-5.57
125,2277,703.1533,Success,40.76,1.31,3.78,-1.78
126,2278,729.4924,Success,33.06,1.28,1.55,-3.51
127,2278,691.104,Success,34.86,3.17,6.91,-2.75
128,2278,691.6712,Success,38.02,2.91,4.06,-3.42
129,2278,-246.477,Crash,37.58,3.21,2.77,-3.25
130,2278,710.3105,Success,35.84,2.49,2.41,-3.39
131,2278,695.9628,Success,32.58,3.98,4.58,-2.89
132,2278,715.0067,Success,32.18,3.47,2.62,-2.46
133,2278,707.8044,Success,40.39,1.38,2.27,-2.66
134,2279,685.3899,Success,40.28,3.25,4.67,-3.11
135,2279,-245.4579,Crash,40.51,2.22,3.45,-6.37
136,2279,-223.8394,Crash,30.22,2.61,4.09,-3.84
137,2279,-240.538,Crash,36.55,2.16,3.83,-2.64
138,2279,726.369,Success,30.5,2.57,3.21,-1.96
139,2279,703.473,Success,41.03,1.71,2.03,-3.06
140,2279,726.2652,Success,33.3,1.5,3.10,-3.91
141,2280,675.283,Success,41.05,2.3,7.28,-2.71
142,2280,721.2901,Success,31.28,3.01,0.97,-2.05
143,2280,732.5619,Success,30.45,1.89,1.17,-2.64
144,2280,712.6537,Success,39.49,0.42,3.32,-2.09
145,2280,714.3487,Success,38.47,1.46,2.11,-0.72
146,2280,729.0321,Success,32.69,2.41,3.92,-4.17
147,2280,695.6079,Success,40.05,1.91,6.04,-3.52
148,2280,688.2574,Success,38.44,3.88,4.59,-2.38
149,2281,697.8048,Success,35.93,3.2,4.00,-2.44
150,2281,720.8217,Success,33.42,2.57,1.75,-2.46
151,2281,705.2699,Success,34.3,3.26,4.43,-1.40
152,2281,723.1418,Success,30.33,3.71,4.40,-2.07
153,2281,716.8865,Success,35.73,1.86,4.29,-4.47
154,2281,683.385,Success,41.52,2.66,5.09,-3.16
155,2281,723.2224,Success,36.8,1.2,2.35,-3.78
156,2281,-236.5594,Crash,32.65,1.8,9.58,-5.93
157,2282,717.4729,Success,33.58,3.05,1.15,-4.27
158,2282,-231.22,Crash,35.48,2.32,3.31,-4.19
159,2282,711.9859,Success,39.86,1.07,3.65,-3.48
160,2282,732.4623,Success,30.56,2.54,2.63,-4.03
161,2282,697.295,Success,36.73,3.1,5.37,-3.31
162,2282,737.8249,Success,30.38,2.01,0.52,-4.15
163,2282,736.07,Success,32.18,1.73,1.80,-4.16
164,2282,-227.8267,Crash,32.97,2.4,1.69,-5.54
165,2282,730.9949,Success,30.44,2.07,4.23,-4.48
166,2283,705.2571,Success,38.39,2.02,4.19,-3.67
167,2283,743.4681,Success,31.05,1.38,1.85,-3.95
168,2283,-218.0219,Crash,31.82,1.96,1.22,-4.75
169,2283,738.176,Success,32.19,0.44,2.65,-3.14
170,2283,717.7596,Success,37.5,1.64,2.44,-2.53
171,2283,-341.8819,Spin,38.92,3.3,3.01,-9.87
172,2283,-217.6092,Crash,33.12,1.18,1.61,-5.86
173,2283,726.5823,Success,34.24,1.59,1.20,-3.96
174,2284,-222.9591,Crash,31.84,2.09,3.33,-4.86
175,2284,-285.7817,Spin,37.93,3.27,3.57,-13.94
176,2284,-220.9321,Crash,35.2,0.39,3.15,-4.64
177,2284,726.0251,Success,36.53,0.85,2.50,-4.01
178,2284,-238.2982,Crash,36.99,2.79,4.44,-3.34
179,2284,734.1295,Success,32.13,1.1,3.42,-3.45
180,2284,-325.085,Spin,41.06,2.75,2.29,-14.00
181,2284,-255.9586,Crash,40.52,3.3,4.00,-4.57
182,2284,725.0793,Success,29.78,2.99,3.52,-3.03
183,2284,-244.062,Crash,40.05,2.95,1.81,-6.15
184,2285,690.3205,Success,39.08,2.33,5.05,-3.57
185,2285,-233.5217,Crash,38.22,1.73,1.24,-5.13
186,2285,716.1599,Success,30.29,2.98,5.86,-2.47
187,2285,-239.6379,Crash,40.95,1.88,1.92,-7.82
188,2285,721.1882,Success,31.79,2.37,4.45,-2.60
189,2285,733.2687,Success,37.58,0.38,1.22,-3.21
190,2285,699.9321,Success,40.53,2.64,2.93,-4.24
191,2285,724.8071,Success,30.91,2.13,2.85,-3.00
192,2286,-239.0865,Crash,32.8,3.15,4.91,-4.03
193,2286,-232.2347,Crash,37.16,2.3,2.24,-6.34
194,2286,-229.9489,Crash,30.65,4.08,1.97,-5.69
195,2286,-281.4151,Spin,39.94,2.16,2.36,-13.78
196,2286,-234.5412,Crash,38.57,1.52,2.30,-5.72
197,2286,-234.5102,Crash,36.16,2.38,2.71,-5.61
198,2286,-223.4564,Crash,31.84,2.81,1.03,-2.60
199,2286,730.3675,Success,30.94,2.44,1.71,-4.46
200,2286,714.1731,Success,34.65,2.92,3.57,-3.02
201,2287,715.4463,Success,31.27,3.15,4.28,-1.31
202,2287,-237.8798,Crash,39.51,1.51,2.22,-4.64
203,2287,-236.369,Crash,36.58,2.37,1.92,-5.36
204,2287,697.5215,Success,41.07,3.15,1.50,-3.85
205,2287,751.7726,Success,30.2,0.13,1.07,-2.00
206,2287,704.6759,Success,38.87,1.85,2.26,-0.59
207,2287,708.1864,Success,31.54,2.73,5.07,-1.47
208,2287,709.8578,Success,35.98,2.61,4.21,-2.69
209,2288,718.516,Success,34.0,2.1,3.30,-2.99
210,2288,701.2004,Success,38.97,2.85,4.74,-2.41
211,2288,696.2028,Success,40.8,3.01,1.77,-1.29
212,2288,712.6953,Success,33.85,2.8,3.79,-2.40
213,2288,729.8,Success,33.96,1.77,0.86,-2.49
214,2288,-276.6496,Spin,41.36,2.61,2.70,-10.66
215,2288,711.9276,Success,31.47,3.55,3.83,-1.56
216,2288,710.2553,Success,36.65,1.87,4.15,-3.35
217,2289,702.1986,Success,31.88,3.47,5.37,-0.66
218,2289,736.3327,Success,32.14,1.72,1.64,-3.21
219,2289,-234.1946,Crash,36.92,2.46,2.82,-4.71
220,2289,685.4991,Success,39.78,3.08,3.44,-3.51
221,2289,-221.5699,Crash,31.6,1.93,4.50,-4.19
222,2289,699.527,Success,40.05,3.14,0.97,-4.22
223,2289,725.0974,Success,37.81,1.05,2.04,-3.27
224,2289,730.1937,Success,31.34,0.67,4.17,-1.66
225,2290,713.668,Success,33.81,1.99,5.68,-2.95
226,2290,719.1543,Success,30.2,2.68,5.60,-1.96
227,2290,704.8124,Success,37.8,3.23,3.63,-3.89
228,2290,-233.0932,Crash,38.86,1.5,2.45,-4.52
229,2290,-241.1024,Crash,41.3,1.6,2.32,-5.63
230,2290,-247.5108,Crash,39.88,2.67,3.96,-5.74
231,2290,-238.5572,Crash,37.82,2.51,0.42,-4.20
232,2290,720.2087,Success,31.59,3.1,4.12,-4.02
233,2290,723.2958,Success,31.73,2.45,4.17,-2.72
234,2291,710.0193,Success,35.99,1.43,3.97,-3.45
235,2291,700.7114,Success,37.86,3.56,2.07,-3.25
236,2291,719.6244,Success,39.18,0.82,1.65,-3.06
237,2291,726.321,Success,36.68,0.64,1.90,-2.49
238,2291,-240.7628,Crash,39.0,1.43,4.60,-5.36
239,2291,711.7026,Success,35.74,3.45,1.73,-1.96
240,2291,707.4589,Success,36.71,2.98,2.93,-1.11
241,2291,-235.2495,Crash,32.18,2.83,5.67,-2.90
242,2292,711.7951,Success,36.18,2.04,3.83,-2.04
243,2292,-244.7425,Crash,37.74,2.77,4.65,-4.61
244,2292,-241.9646,Crash,35.77,3.05,2.78,-4.89
245,2292,689.8628,Success,40.88,3.0,4.83,-3.03
246,2292,718.0065,Success,35.12,2.0,3.43,-3.42
247,2292,708.1714,Success,36.71,1.76,4.24,-2.29
248,2292,-251.9198,Crash,41.01,1.7,5.78,-2.75
249,2292,702.0928,Success,41.26,2.05,2.04,-2.97
250,2293,-249.229,Crash,36.47,3.21,4.81,-1.62
251,2293,689.8901,Success,33.38,3.35,6.68,-0.47
252,2293,702.0422,Success,35.22,3.24,2.71,-1.65
253,2293,713.613,Success,39.66,1.34,1.80,-2.46
254,2293,-273.2033,Crash,41.63,2.97,7.78,-0.62
255,2293,-243.1018,Crash,31.69,1.55,12.97,-3.11
256,2293,720.232,Success,34.49,2.13,1.01,-1.03
257,2294,690.2152,Success,40.61,2.71,5.42,-3.86
258,2294,688.3293,Success,40.69,3.5,3.09,-3.96
259,2294,697.208,Success,34.97,2.51,7.15,-1.75
260,2294,-223.4722,Crash,35.53,0.96,4.87,-1.34
261,2294,-221.0554,Crash,29.85,2.05,6.46,-2.68
262,2294,-539.2114,OutOfBounds,35.64,2.39,22.85,0.04
263,2295,741.9041,Success,31.36,0.69,2.22,-3.31
264,2295,692.3016,Success,38.45,2.83,4.83,-1.72
265,2295,716.0279,Success,34.72,1.36,4.72,-2.13
266,2295,719.6311,Success,32.9,1.98,2.34,-1.40
267,2295,712.8876,Success,38.57,1.78,2.11,-2.20
268,2295,732.0744,Success,31.39,2.05,1.38,-2.71
269,2295,-237.3622,Crash,38.09,2.43,1.88,-3.64
270,2295,684.9979,Success,39.49,2.33,5.17,-1.31
271,2296,715.8819,Success,31.33,3.32,2.70,-1.89
272,2296,-207.1721,Crash,30.28,0.59,2.61,-2.26
273,2296,712.4199,Success,33.06,3.37,2.46,-3.02
274,2296,-250.588,Crash,38.8,3.99,1.77,-1.67
275,2296,729.1515,Success,30.9,0.96,3.01,-1.04
276,2296,730.2674,Success,31.31,1.85,2.51,-1.90
277,2296,727.452,Success,34.22,0.96,3.06,-1.14
278,2297,692.6971,Success,40.85,3.02,4.28,-4.36
279,2297,-242.6112,Crash,40.41,2.33,3.00,-6.01
280,2297,720.268,Success,32.73,2.85,3.50,-3.13
281,2297,731.9775,Success,32.1,1.14,2.40,-1.04
282,2297,706.5646,Success,41.04,2.4,2.61,-3.91
283,2297,-230.2356,Crash,38.19,0.84,4.40,-4.82
284,2297,714.1629,Success,38.7,1.65,3.85,-2.89
285,2297,689.2826,Success,39.8,2.85,5.57,-2.59
286,2298,-249.0685,Crash,37.24,2.81,5.96,-4.17
287,2298,-205.9371,Crash,29.93,0.76,2.08,-3.10
288,2298,-245.8393,Crash,36.24,3.45,4.97,-5.67
289,2298,-235.3836,Crash,36.6,2.63,2.85,-5.44
290,2298,-231.0118,Crash,33.81,1.79,3.33,-5.21
291,2298,-229.7845,Crash,32.64,2.55,6.65,-4.58
292,2298,-229.6173,Crash,35.88,2.08,2.62,-4.75
293,2298,-241.9802,Crash,37.46,3.49,2.04,-4.87
294,2298,703.4927,Success,38.4,2.14,4.67,-3.33
295,2299,-243.9131,Crash,35.16,2.24,8.40,-3.03
296,2299,-250.4476,Crash,40.27,3.14,2.98,-4.71
297,2299,-227.1796,Crash,34.3,1.89,3.18,-5.46
298,2299,-239.9212,Crash,36.74,3.37,3.60,-5.06
299,2299,719.7615,Success,34.24,3.1,2.16,-2.88
300,2299,-241.1535,Crash,39.82,1.94,3.55,-7.43
301,2299,716.7939,Success,37.76,1.26,3.03,-3.51
302,2299,717.1611,Success,35.03,3.0,3.02,-2.87
303,2300,720.8136,Success,38.9,0.44,3.38,-3.50
304,2300,730.8018,Success,32.25,1.37,5.42,-3.93
305,2300,710.8032,Success,37.99,2.4,2.58,-3.82
306,2300,712.6773,Success,37.01,2.09,3.33,-3.09
307,2300,727.8461,Success,34.58,0.92,2.98,-1.71
308,2300,726.203,Success,30.88,3.08,4.18,-3.18
309,2300,718.1083,Success,33.39,1.93,4.47,-3.14
310,2300,711.1046,Success,32.09,3.16,3.76,-2.17
311,2301,717.3089,Success,32.17,3.15,5.70,-3.49
312,2301,731.2929,Success,33.67,1.5,1.15,-3.67
313,2301,701.707,Success,40.61,1.36,3.70,-2.25
314,2301,717.1142,Success,38.11,0.99,2.00,-2.07
315,2301,-234.6237,Crash,31.42,2.66,6.19,-2.48
316,2301,-255.7022,Crash,29.94,3.93,10.02,-1.51
317,2301,711.8605,Success,40.59,1.85,2.29,-3.65
318,2301,724.4702,Success,37.96,1.17,0.72,-3.34
319,2302,-230.8559,Crash,34.64,2.71,2.82,-3.18
320,2302,707.9012,Success,39.58,1.26,3.77,-2.11
321,2302,699.0216,Success,37.42,2.06,5.13,-2.58
322,2302,-242.2865,Crash,36.28,1.62,6.31,-6.08
323,2302,697.6655,Success,37.68,2.57,3.63,-0.98
324,2302,704.4553,Success,36.52,1.87,3.85,-2.92
325,2302,-254.2218,Crash,39.22,2.96,5.03,-5.69
326,2303,-267.6372,Crash,31.77,3.04,13.25,-1.44
327,2303,701.6119,Success,32.79,3.71,5.04,-3.29
328,2303,-231.1356,Crash,32.44,1.96,7.28,-4.57
329,2303,703.2641,Success,38.9,1.83,3.66,-0.70
330,2303,704.7288,Success,36.57,2.63,3.90,-2.16
331,2303,715.3277,Success,29.73,3.47,5.70,-3.07
332,2303,-229.2525,Crash,30.97,0.21,10.50,-6.32
333,2303,687.4193,Success,36.69,2.5,7.83,-0.92
334,2304,728.3068,Success,30.07,2.52,2.59,-1.14
335,2304,705.5602,Success,37.55,3.14,2.07,-3.99
