Episode,Update,Return,Reason,StartAlt,StartDist,final_dist,final_vel
1,1401,-120.8074,Crash,2.0,1.72,1.75,-2.56
2,1401,-144.3799,Crash,2.39,0.95,7.71,-1.24
3,1401,815.5414,Success,2.97,2.3,1.70,-0.90
4,1401,855.4252,Success,1.84,2.4,2.40,-0.10
5,1401,859.7256,Success,1.81,2.84,2.85,-0.87
6,1401,-170.9013,Crash,2.29,2.13,11.84,-4.57
7,1401,-161.9237,Crash,2.66,1.68,13.58,-3.54
8,1401,813.5542,Success,2.48,2.59,3.20,-1.62
9,1401,-132.611,Crash,2.46,1.88,3.87,-1.22
10,1402,-138.3822,Crash,2.95,1.59,3.74,-2.60
11,1402,-124.7455,Crash,3.38,3.24,2.94,-1.19
12,1402,-141.9573,Crash,1.95,3.75,7.17,-2.09
13,1402,-130.2438,Crash,3.56,1.3,1.51,-2.44
14,1402,-134.0735,Crash,2.81,2.47,3.22,-4.55
15,1402,-167.5622,Crash,3.5,2.22,11.52,-2.36
16,1402,840.7675,Success,3.14,1.13,1.18,-1.27
1,1401,814.597,Success,6.44,2.29,2.30,-3.26
2,1401,-253.5556,Spin,3.5,2.6,3.83,0.12
3,1401,-150.756,Crash,2.2,3.32,6.12,-4.67
4,1401,-130.5419,Crash,2.43,0.38,7.56,-0.79
5,1401,-473.6357,OutOfBounds,2.24,2.82,21.12,-0.45
6,1401,814.416,Success,5.43,2.79,2.65,-1.35
7,1401,-246.4555,Spin,3.41,2.76,0.74,-3.01
8,1402,795.4327,Success,4.79,3.94,1.34,-1.52
9,1402,-122.3512,Crash,4.86,1.07,1.04,-0.17
10,1402,803.3941,Success,3.59,2.18,3.53,-1.63
11,1402,-130.4248,Crash,3.02,2.8,4.08,-2.27
12,1402,807.3131,Success,5.28,0.95,2.45,-0.84
13,1402,-145.9348,Crash,4.39,2.47,7.31,-2.10
14,1402,-138.2497,Crash,6.35,2.55,3.02,-4.99
15,1402,-113.672,Crash,2.76,1.26,0.87,-1.24
16,1402,817.7597,Success,3.96,3.57,3.60,-1.42
17,1402,825.249,Success,3.97,3.41,3.38,-1.80
18,1402,788.5477,Success,3.32,3.55,2.07,-2.04
19,1403,-130.5987,Crash,3.72,2.18,2.50,-3.82
20,1403,820.2299,Success,5.73,0.82,0.92,-2.83
21,1403,-132.0049,Crash,5.75,2.06,1.97,-5.19
22,1403,-109.9382,Crash,3.28,0.6,0.68,-2.56
23,1403,-139.7409,Crash,6.6,3.12,3.19,-4.55
24,1403,819.4926,Success,5.03,4.19,4.18,-1.84
25,1403,837.8654,Success,3.59,1.18,1.24,-1.52
26,1403,828.305,Success,4.66,1.59,1.60,-4.36
27,1403,810.4775,Success,6.33,3.64,3.64,-3.93
28,1403,-135.3237,Crash,5.94,2.7,2.70,-6.31
29,1403,823.3878,Success,4.89,2.05,2.26,-3.34
30,1403,809.3223,Success,6.6,2.52,2.36,-3.14
31,1403,-139.4,Crash,6.36,3.08,3.07,-4.66
32,1403,-137.5254,Crash,6.41,2.83,2.81,-4.52
33,1403,820.6387,Success,4.73,2.61,2.72,-2.46
34,1403,820.2086,Success,1.77,1.7,1.53,-0.71
35,1403,826.3683,Success,4.91,1.28,1.31,-3.63
36,1403,833.6188,Success,4.12,1.04,0.96,-2.50
37,1403,-151.8277,Crash,2.23,3.45,6.14,-5.23
38,1403,-140.8309,Crash,6.2,3.23,3.47,-5.29
39,1404,-143.3494,Crash,2.1,0.77,8.08,-4.32
40,1404,822.2314,Success,5.12,2.46,2.43,-3.58
41,1404,811.516,Success,6.33,2.33,2.33,-3.77
42,1404,-128.6799,Crash,3.1,1.61,4.99,-2.97
43,1404,-129.0551,Crash,2.94,2.99,2.41,-3.39
44,1404,-127.0549,Crash,2.46,2.81,3.89,-2.75
45,1404,827.7511,Success,4.56,1.66,1.77,-2.51
46,1404,856.0894,Success,1.97,2.16,2.18,-1.05
47,1404,-146.2266,Crash,2.26,2.1,5.90,-4.98
48,1404,825.0588,Success,4.05,2.29,2.07,-0.85
49,1404,798.4696,Success,2.72,1.66,3.39,-2.69
50,1404,808.5219,Success,6.19,3.63,3.93,-3.18
51,1404,810.8651,Success,6.27,2.02,1.58,-1.76
52,1405,812.3182,Success,5.72,2.48,2.57,-2.10
53,1405,808.4989,Success,4.92,3.82,3.03,-1.19
54,1405,817.8313,Success,6.29,1.49,1.52,-4.07
55,1405,-146.4742,Crash,3.1,2.48,6.62,-4.61
56,1405,817.1929,Success,5.45,2.34,2.19,-3.14
57,1405,820.5757,Success,6.03,1.36,1.37,-3.69
58,1405,817.8824,Success,2.47,2.87,2.30,-1.38
59,1405,805.8808,Success,6.2,1.95,2.71,-3.01
60,1405,-358.158,OutOfBounds,2.1,3.74,20.31,-0.24
61,1405,818.5871,Success,2.65,2.84,0.59,-0.49
62,1405,811.786,Success,5.97,1.71,2.12,-1.68
63,1405,788.6879,Success,2.68,3.01,3.73,-2.21
64,1405,836.6828,Success,3.49,1.04,1.37,-2.20
65,1406,796.7704,Success,4.05,2.22,3.68,-2.42
66,1406,821.7732,Success,5.2,0.68,0.72,-1.02
67,1406,801.1426,Success,3.68,2.51,3.13,-2.76
68,1406,814.7883,Success,2.34,3.11,3.30,-2.60
69,1406,828.7188,Success,4.4,1.68,1.82,-2.67
70,1406,-190.2165,Crash,3.68,2.65,3.52,-4.91
71,1406,-464.5033,OutOfBounds,2.52,1.89,27.31,0.62
72,1406,823.9419,Success,4.81,2.03,1.91,-2.79
73,1406,841.8154,Success,3.4,0.84,0.88,-2.04
74,1406,-159.1211,Crash,2.1,1.16,11.79,-5.41
75,1407,-119.0526,Crash,3.32,0.28,0.39,-3.98
76,1407,862.54,Success,1.65,1.98,1.98,-0.39
77,1407,833.5953,Success,3.82,1.16,1.09,-1.46
78,1407,817.2172,Success,5.25,3.1,3.16,-2.85
79,1407,-464.8932,OutOfBounds,2.33,1.99,27.53,0.75
80,1407,823.9717,Success,5.69,0.61,0.72,-3.80
81,1407,819.2527,Success,5.6,2.61,2.57,-3.65
82,1407,816.6461,Success,2.92,2.98,2.31,-0.21
83,1407,840.3684,Success,2.93,1.73,1.47,-0.44
84,1407,850.6004,Success,2.35,2.45,2.45,-1.19
85,1407,825.8144,Success,4.51,1.75,1.71,-1.56
86,1407,809.974,Success,6.17,2.15,1.73,-2.55
87,1407,814.7344,Success,6.57,1.43,1.43,-2.67
88,1407,721.6302,Success,3.06,2.32,9.01,-1.97
